id,user_id,score,created_at,ended_at,adj_correct,adj_guesses,adj_score_before_guess,func_correct,func_guesses,func_score_before_guess,noun_correct,noun_guesses,noun_score_before_guess,num_correct,num_guesses,num_score_before_guess,propn_correct,propn_guesses,propn_score_before_guess,verb_correct,verb_guesses,verb_score_before_guess,guessed_words
173,1,0,1773763552419,1773763552838,0,,,0,,,0,,,0,,,0,,,0,,,[]
172,8,300,1773759887706,1773760069866,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""a"", ""part_of_speech"": ""2222""}, {""word"": ""my"", ""part_of_speech"": ""2222""}, {""word"": ""uncovered"", ""part_of_speech"": ""6666""}, {""word"": ""revealed"", ""part_of_speech"": ""6666""}, {""word"": ""showed"", ""part_of_speech"": ""6666""}, {""word"": ""identified"", ""part_of_speech"": ""6666""}, {""word"": ""showing"", ""part_of_speech"": ""6666""}, {""word"": ""uncovering"", ""part_of_speech"": ""6666""}, {""word"": ""revealing"", ""part_of_speech"": ""6666""}, {""word"": ""environment"", ""part_of_speech"": ""3333""}, {""word"": ""pollution"", ""part_of_speech"": ""3333""}, {""word"": ""waste"", ""part_of_speech"": ""3333""}, {""word"": ""economy"", ""part_of_speech"": ""3333""}, {""word"": ""sustainability"", ""part_of_speech"": ""3333""}, {""word"": ""45"", ""part_of_speech"": ""4444""}, {""word"": ""30"", ""part_of_speech"": ""4444""}, {""word"": ""29"", ""part_of_speech"": ""4444""}, {""word"": ""25"", ""part_of_speech"": ""4444""}, {""word"": ""chemical"", ""part_of_speech"": ""1111""}, {""word"": ""domestic"", ""part_of_speech"": ""1111""}]"
171,8,0,1773756830175,1773757012199,0,,,0,,,0,,,0,,,0,,,0,,,[]
170,8,300,1773756626257,1773756808182,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""to"", ""part_of_speech"": ""2222""}, {""word"": ""public"", ""part_of_speech"": ""1111""}, {""word"": ""art"", ""part_of_speech"": ""1111""}, {""word"": ""historical"", ""part_of_speech"": ""1111""}, {""word"": ""legal"", ""part_of_speech"": ""1111""}, {""word"": ""organised"", ""part_of_speech"": ""1111""}, {""word"": ""high-profile"", ""part_of_speech"": ""1111""}, {""word"": ""1850"", ""part_of_speech"": ""4444""}, {""word"": ""airport"", ""part_of_speech"": ""3333""}, {""word"": ""extracted"", ""part_of_speech"": ""6666""}, {""word"": ""taken"", ""part_of_speech"": ""6666""}, {""word"": ""quai branly"", ""part_of_speech"": ""5555""}]"
169,8,300,1773756576242,1773756619728,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""on"", ""part_of_speech"": ""2222""}, {""word"": ""10"", ""part_of_speech"": ""4444""}, {""word"": ""5"", ""part_of_speech"": ""4444""}, {""word"": ""20"", ""part_of_speech"": ""4444""}, {""word"": ""30"", ""part_of_speech"": ""4444""}, {""word"": ""institute"", ""part_of_speech"": ""5555""}, {""word"": ""state"", ""part_of_speech"": ""1111""}, {""word"": ""public"", ""part_of_speech"": ""1111""}, {""word"": ""using"", ""part_of_speech"": ""6666""}, {""word"": ""deploying"", ""part_of_speech"": ""6666""}, {""word"": ""stop"", ""part_of_speech"": ""6666""}, {""word"": ""cut"", ""part_of_speech"": ""6666""}, {""word"": ""organisations"", ""part_of_speech"": ""3333""}]"
168,8,300,1773756251625,1773756432810,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""loud"", ""part_of_speech"": ""1111""}, {""word"": ""the"", ""part_of_speech"": ""2222""}, {""word"": ""all"", ""part_of_speech"": ""2222""}, {""word"": ""some"", ""part_of_speech"": ""2222""}, {""word"": ""clean"", ""part_of_speech"": ""6666""}, {""word"": ""unclutter"", ""part_of_speech"": ""6666""}, {""word"": ""centuries"", ""part_of_speech"": ""3333""}, {""word"": ""decades"", ""part_of_speech"": ""3333""}, {""word"": ""bansilalpet"", ""part_of_speech"": ""5555""}, {""word"": ""40"", ""part_of_speech"": ""4444""}, {""word"": ""50"", ""part_of_speech"": ""4444""}, {""word"": ""60"", ""part_of_speech"": ""4444""}, {""word"": ""70"", ""part_of_speech"": ""4444""}]"
167,8,400,1773756169902,1773756251543,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""policy"", ""part_of_speech"": ""3333""}, {""word"": ""in"", ""part_of_speech"": ""2222""}, {""word"": ""dangerous"", ""part_of_speech"": ""1111""}, {""word"": ""uncertain"", ""part_of_speech"": ""1111""}, {""word"": ""violent"", ""part_of_speech"": ""1111""}, {""word"": ""difficult"", ""part_of_speech"": ""1111""}, {""word"": ""divided"", ""part_of_speech"": ""1111""}, {""word"": ""spoke"", ""part_of_speech"": ""6666""}, {""word"": ""iran"", ""part_of_speech"": ""5555""}]"
166,8,600,1773756004343,1773756160867,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""american"", ""part_of_speech"": ""1111""}, {""word"": ""us"", ""part_of_speech"": ""1111""}, {""word"": ""man"", ""part_of_speech"": ""1111""}, {""word"": ""human"", ""part_of_speech"": ""1111""}, {""word"": ""only"", ""part_of_speech"": ""1111""}, {""word"": ""first"", ""part_of_speech"": ""1111""}, {""word"": ""2028"", ""part_of_speech"": ""4444""}, {""word"": ""2027"", ""part_of_speech"": ""4444""}, {""word"": ""2030"", ""part_of_speech"": ""4444""}, {""word"": ""2029"", ""part_of_speech"": ""4444""}, {""word"": ""2031"", ""part_of_speech"": ""4444""}, {""word"": ""next"", ""part_of_speech"": ""4444""}, {""word"": ""15"", ""part_of_speech"": ""4444""}, {""word"": ""1"", ""part_of_speech"": ""4444""}, {""word"": ""on"", ""part_of_speech"": ""2222""}, {""word"": ""preparing"", ""part_of_speech"": ""6666""}, {""word"": ""prepping"", ""part_of_speech"": ""6666""}, {""word"": ""working"", ""part_of_speech"": ""6666""}, {""word"": ""press"", ""part_of_speech"": ""3333""}, {""word"": ""march"", ""part_of_speech"": ""5555""}, {""word"": ""april"", ""part_of_speech"": ""5555""}]"
165,6,0,1773755659823,1773755660609,0,,,0,,,0,,,0,,,0,,,0,,,[]
164,6,0,1773755658220,1773755659769,0,,,0,,,0,,,0,,,0,,,0,,,[]
